p0,p1,alpha,beta,ri_ni,Rj_Nj
0.3,0.5,0.1,0.1,"6/24-25,7/26-29,8/30,9/31","13/35,14/36-37,15/38-40,16/41-42"
,,0.05,0.2,"5/18-19,6/20-22,14/33-35,15/36-37,7/23-24,8/25","16/38-39,17/40"
,,0.05,0.1,"7/27,8/28-29,19/47-49,20/50-51,9/30-31,10/32-34","21/52-53,22/54"
0.4,0.6,0.1,0.1,"8/23-24,9/25-26,10/27,11/28-29,12/30","18/37-38,19/39-40,20/41,21/42-43,22/44"
,,0.05,0.2,"6/18,7/19-20,8/21-22,9/23,10/24-25","18/35-36,19/37,20/38-39,21/40,22/41-42"
,,0.05,0.1,"10/26-27,11/28,12/29-31,13/32-33","25/50-51,26/52,27/53-54,28/55-56,29/57"
0.5,0.7,0.1,0.1,"8/18,9/19-20,10/21,11/22-23,12/24,13/25","21/36,22/37-38,23/39,24/40-41,25/42-43"
,,0.05,0.2,"7/15,8/16-17,9/18-19,10/20,11/21,12/22","21/34,22/35-36,23/37-38,24/39,25/40,26/41"
,,0.05,0.1,"14/30-31,15/32,16/33-34,17/35,18/36,19/37","18/47,29/48,30/49-50,31/51,32/52-53,33/54"
0.6,0.8,0.1,0.1,"9/17-18,10/19,11/20,12/21,13/22-23,14/24","21/30-31,22/32,23/33,24/34-35,25/36,26/37"
,,0.05,0.2,"6/11,7/12-13,8/14,9/15-16,10/17,11/18","21/29,22/30-31,23/32,24/33,25/34-35,26/36"
,,0.05,0.1,"11/19,12/20-21,13/22,14/23,15/24-26","29/41,30/42-43,31/44,32/45,33/46-47,34/48"
0.7,0.9,0.1,0.1,"5/8,6/9,7/10-11,8/12,9/13,10/14-15","17/22,18/23,19/24,20/25,21/26,22/27-28,23/29"
,,0.05,0.2,"5/8,6/9,7/10,8/11,9/12-13,10/14,11/15","17/21,18/22,19/23,20/24,21/25,22/26-27,23/28"
,,0.05,0.1,"8/12,9/13,10/14,11/15,12/16-17,13/18,14/19","24/30,35/31,26/32,27/33,28/34-35,29/36,30/37"
